date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max,relative_humidity_2m_min,city,latitude,longitude,year,month,day,season,temp_range,humidity_avg
2010-01-01,27.7,21.0,0.0,16.8,95.0,64.0,Chennai,13.08,80.27,2010,1,1,Winter,6.7,79.5
2010-01-02,27.0,22.1,0.8,17.3,92.0,66.0,Chennai,13.08,80.27,2010,1,2,Winter,4.9,79.0
2010-01-03,26.7,22.0,0.1,18.1,91.0,64.0,Chennai,13.08,80.27,2010,1,3,Winter,4.7,77.5
2010-01-04,27.2,18.8,0.0,13.4,96.0,58.0,Chennai,13.08,80.27,2010,1,4,Winter,8.4,77.0
2010-01-05,27.4,18.6,0.0,11.3,97.0,59.0,Chennai,13.08,80.27,2010,1,5,Winter,8.8,78.0
2010-01-06,27.7,20.2,0.0,19.4,93.0,60.0,Chennai,13.08,80.27,2010,1,6,Winter,7.5,76.5
2010-01-07,27.0,22.0,0.9,20.9,85.0,57.0,Chennai,13.08,80.27,2010,1,7,Winter,5.0,71.0
2010-01-08,26.0,23.5,8.6,18.6,94.0,72.0,Chennai,13.08,80.27,2010,1,8,Winter,2.5,83.0
2010-01-09,27.0,23.6,1.3,15.7,97.0,79.0,Chennai,13.08,80.27,2010,1,9,Winter,3.4,88.0
2010-01-10,28.2,22.6,1.6,10.01,97.0,75.0,Chennai,13.08,80.27,2010,1,10,Winter,5.6,86.0
2010-01-11,28.4,22.6,5.0,10.6,99.0,76.0,Chennai,13.08,80.27,2010,1,11,Winter,5.8,87.5
2010-01-12,28.9,22.7,0.3,11.5,98.0,68.0,Chennai,13.08,80.27,2010,1,12,Winter,6.2,83.0
2010-01-13,28.1,23.5,5.2,10.5,97.0,76.0,Chennai,13.08,80.27,2010,1,13,Winter,4.6,86.5
2010-01-14,29.1,24.2,0.1,14.5,92.0,66.0,Chennai,13.08,80.27,2010,1,14,Winter,4.9,79.0
2010-01-15,27.7,23.2,0.0,18.5,92.0,65.0,Chennai,13.08,80.27,2010,1,15,Winter,4.5,78.5
2010-01-16,27.9,23.6,0.0,20.2,83.0,62.0,Chennai,13.08,80.27,2010,1,16,Winter,4.3,72.5
2010-01-17,27.9,23.4,0.0,17.0,86.0,64.0,Chennai,13.08,80.27,2010,1,17,Winter,4.5,75.0
2010-01-18,28.0,22.8,0.6,14.6,92.0,67.0,Chennai,13.08,80.27,2010,1,18,Winter,5.2,79.5
2010-01-19,28.1,22.6,0.0,17.0,91.0,63.0,Chennai,13.08,80.27,2010,1,19,Winter,5.5,77.0
2010-01-20,27.9,21.8,0.0,17.7,90.0,57.0,Chennai,13.08,80.27,2010,1,20,Winter,6.1,73.5
2010-01-21,27.5,20.8,0.0,17.1,82.0,53.0,Chennai,13.08,80.27,2010,1,21,Winter,6.7,67.5
2010-01-22,27.3,20.2,0.0,18.8,81.0,49.0,Chennai,13.08,80.27,2010,1,22,Winter,7.1,65.0
2010-01-23,27.4,21.6,0.0,19.1,74.0,48.0,Chennai,13.08,80.27,2010,1,23,Winter,5.8,61.0
2010-01-24,27.4,19.5,0.0,16.2,88.0,53.0,Chennai,13.08,80.27,2010,1,24,Winter,7.9,70.5
2010-01-25,28.4,20.7,0.0,16.0,91.0,57.0,Chennai,13.08,80.27,2010,1,25,Winter,7.7,74.0
2010-01-26,28.7,21.0,0.0,18.9,93.0,59.0,Chennai,13.08,80.27,2010,1,26,Winter,7.7,76.0
2010-01-27,28.1,22.9,0.1,16.8,89.0,63.0,Chennai,13.08,80.27,2010,1,27,Winter,5.2,76.0
2010-01-28,28.8,22.8,0.0,17.4,87.0,54.0,Chennai,13.08,80.27,2010,1,28,Winter,6.0,70.5
2010-01-29,28.1,21.9,0.0,17.5,91.0,57.0,Chennai,13.08,80.27,2010,1,29,Winter,6.2,74.0
2010-01-30,28.7,19.7,0.0,18.6,95.0,51.0,Chennai,13.08,80.27,2010,1,30,Winter,9.0,73.0
2010-01-31,28.2,19.5,0.0,15.6,95.0,49.0,Chennai,13.08,80.27,2010,1,31,Winter,8.7,72.0
2010-02-01,27.7,20.2,0.0,14.6,92.0,53.0,Chennai,13.08,80.27,2010,2,1,Winter,7.5,72.5
2010-02-02,28.1,19.7,0.0,19.2,87.0,50.0,Chennai,13.08,80.27,2010,2,2,Winter,8.4,68.5
2010-02-03,28.1,18.8,0.0,15.6,95.0,49.0,Chennai,13.08,80.27,2010,2,3,Winter,9.3,72.0
2010-02-04,27.8,18.7,0.0,14.0,92.0,50.0,Chennai,13.08,80.27,2010,2,4,Winter,9.1,71.0
2010-02-05,28.1,19.8,0.0,14.3,88.0,52.0,Chennai,13.08,80.27,2010,2,5,Winter,8.3,70.0
2010-02-06,28.7,18.6,0.0,16.4,97.0,54.0,Chennai,13.08,80.27,2010,2,6,Winter,10.1,75.5
2010-02-07,28.8,20.6,0.0,16.6,96.0,50.0,Chennai,13.08,80.27,2010,2,7,Winter,8.2,73.0
2010-02-08,28.9,18.6,0.0,13.6,97.0,42.0,Chennai,13.08,80.27,2010,2,8,Winter,10.3,69.5
2010-02-09,28.5,18.6,0.0,15.1,94.0,53.0,Chennai,13.08,80.27,2010,2,9,Winter,9.9,73.5
2010-02-10,29.4,20.8,0.0,14.3,92.0,53.0,Chennai,13.08,80.27,2010,2,10,Winter,8.6,72.5
2010-02-11,29.3,22.4,0.0,14.8,90.0,57.0,Chennai,13.08,80.27,2010,2,11,Winter,6.9,73.5
2010-02-12,29.6,22.2,0.0,15.5,92.0,59.0,Chennai,13.08,80.27,2010,2,12,Winter,7.4,75.5
