date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max,relative_humidity_2m_min,city,latitude,longitude
2010-01-01,27.7,21.0,0.0,16.8,95,64,Chennai,13.08,80.27
2010-01-02,27.0,22.1,0.8,17.3,92,66,Chennai,13.08,80.27
2010-01-03,26.7,22.0,0.1,18.1,91,64,Chennai,13.08,80.27
2010-01-04,27.2,18.8,0.0,13.4,96,58,Chennai,13.08,80.27
2010-01-05,27.4,17.9,0.0,11.3,97,59,Chennai,13.08,80.27
2010-01-06,27.7,20.2,0.0,19.4,93,60,Chennai,13.08,80.27
2010-01-07,27.0,22.0,0.9,20.9,85,57,Chennai,13.08,80.27
2010-01-08,25.3,23.5,8.6,18.6,94,72,Chennai,13.08,80.27
2010-01-09,27.0,23.6,1.3,15.7,97,79,Chennai,13.08,80.27
2010-01-10,28.2,22.6,1.6,9.3,97,75,Chennai,13.08,80.27
2010-01-11,28.4,22.6,5.0,10.6,99,76,Chennai,13.08,80.27
2010-01-12,28.9,22.7,0.3,11.5,98,68,Chennai,13.08,80.27
2010-01-13,28.1,23.5,5.2,10.5,97,76,Chennai,13.08,80.27
2010-01-14,29.1,24.2,0.1,14.5,92,66,Chennai,13.08,80.27
2010-01-15,27.7,23.2,0.0,18.5,92,65,Chennai,13.08,80.27
2010-01-16,27.9,23.6,0.0,20.2,83,62,Chennai,13.08,80.27
2010-01-17,27.9,23.4,0.0,17.0,86,64,Chennai,13.08,80.27
2010-01-18,28.0,22.8,0.6,14.6,92,67,Chennai,13.08,80.27
2010-01-19,28.1,22.6,0.0,17.0,91,63,Chennai,13.08,80.27
2010-01-20,27.9,21.8,0.0,17.7,90,57,Chennai,13.08,80.27
2010-01-21,27.5,20.8,0.0,17.1,82,53,Chennai,13.08,80.27
2010-01-22,27.3,20.2,0.0,18.8,81,49,Chennai,13.08,80.27
2010-01-23,27.4,21.6,0.0,19.1,74,48,Chennai,13.08,80.27
2010-01-24,27.4,19.5,0.0,16.2,88,53,Chennai,13.08,80.27
2010-01-25,28.4,20.7,0.0,16.0,91,57,Chennai,13.08,80.27
2010-01-26,28.7,21.0,0.0,18.9,93,59,Chennai,13.08,80.27
2010-01-27,28.1,22.9,0.1,16.8,89,63,Chennai,13.08,80.27
2010-01-28,28.8,22.8,0.0,17.4,87,54,Chennai,13.08,80.27
2010-01-29,28.1,21.9,0.0,17.5,91,57,Chennai,13.08,80.27
2010-01-30,28.7,19.7,0.0,18.6,95,51,Chennai,13.08,80.27
2010-01-31,28.2,19.5,0.0,15.6,95,49,Chennai,13.08,80.27
2010-02-01,27.7,20.2,0.0,14.6,92,53,Chennai,13.08,80.27
2010-02-02,28.1,19.7,0.0,19.2,87,50,Chennai,13.08,80.27
2010-02-03,28.1,18.8,0.0,15.6,95,49,Chennai,13.08,80.27
2010-02-04,27.8,18.7,0.0,14.0,92,50,Chennai,13.08,80.27
2010-02-05,28.1,19.8,0.0,14.3,88,52,Chennai,13.08,80.27
